directive,objective,elapsed_sec
"#pragma omp parallel for collapse(2) schedule(dynamic, 8) num_threads(72)",0.41049966,372.26344418525696
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 16)",0.412082,5126.431850194931
"#pragma omp parallel for collapse(2) schedule(dynamic, 16)",0.41472066,5222.689223051071
"#pragma omp parallel for schedule(static, 1)",0.41712366,5750.390451431274
#pragma omp parallel for simd schedule(static),0.41753833,5844.518263339996
#pragma omp parallel for,0.41814533,5908.645440578461
#pragma omp parallel for schedule(dynamic),0.418334,4082.262873649597
#pragma omp parallel for collapse(2) schedule(dynamic),0.41954133,602.2627530097961
"#pragma omp parallel for simd schedule(static, 1)",0.41997133,5690.2633492946625
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 1)",0.42018833,3734.26323056221
"#pragma omp parallel for schedule(static, 2)",0.420469,5720.2638211250305
"#pragma omp parallel for schedule(dynamic, 4) num_threads(72)",0.42062333,3494.262876033783
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 4)",0.42099633,3144.263340473175
#pragma omp parallel for schedule(static),0.421005,5794.261960506439
#pragma omp parallel for schedule(dynamic) num_threads(72),0.421638,6114.26341509819
"#pragma omp parallel for collapse(2) schedule(dynamic, 4)",0.42246033,3194.2640471458435
#pragma omp parallel for simd collapse(2) schedule(dynamic) num_threads(72),0.42272533,6298.2621257305145
"#pragma omp parallel for simd schedule(static, 2)",0.424152,5310.264526844025
#pragma omp parallel for simd schedule(dynamic),0.424999,5200.262936830521
"#pragma omp parallel for schedule(dynamic, 4)",0.425768,3686.518173933029
#pragma omp parallel for simd collapse(2) schedule(dynamic),0.42670566,5178.475654840469
"#pragma omp parallel for simd schedule(dynamic, 1)",0.428737,3844.263302087784
baseline,0.429069,1
#pragma omp parallel for simd schedule(static) num_threads(72),0.42915833,6616.263072490692
#pragma omp parallel for collapse(2) schedule(static),0.42982366,5762.603227376938
"#pragma omp parallel for schedule(static, 4)",0.43035133,6406.262531995773
"#pragma omp parallel for simd schedule(dynamic, 4)",0.430412,3822.263992547989
