directive,objective,elapsed_sec
"#pragma omp parallel for simd schedule(dynamic, 1) num_threads(72)",1.93765766,5060.347221374512
"#pragma omp parallel for schedule(dynamic, 1) num_threads(72)",1.95284233,4988.3501036167145
#pragma omp parallel for simd schedule(dynamic) num_threads(72),1.99891733,4556.349307537079
#pragma omp parallel for schedule(dynamic) num_threads(8),10.44225866,3972.349179983139
"#pragma omp parallel for collapse(2) schedule(dynamic, 2) num_threads(8)",10.69839866,3550.8621685504913
#pragma omp parallel for simd collapse(2) schedule(static) num_threads(8),11.18679666,4436.349371910095
#pragma omp parallel for schedule(dynamic) num_threads(72),2.00479066,4860.349616765976
"#pragma omp parallel for schedule(dynamic, 2) num_threads(72)",2.009077,6556.35063290596
"#pragma omp parallel for schedule(dynamic, 4) num_threads(72)",2.03634866,5574.347675561905
"#pragma omp parallel for simd schedule(dynamic, 2) num_threads(72)",2.03730733,4952.349712133408
"#pragma omp parallel for simd schedule(dynamic, 8) num_threads(72)",2.039041,4802.349029779434
"#pragma omp parallel for collapse(2) schedule(dynamic, 8) num_threads(72)",2.04204666,2600.3482115268707
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 16) num_threads(72)",2.04738866,6678.347217321396
"#pragma omp parallel for schedule(static, 1)",2.04788066,8800.51972913742
"#pragma omp parallel for simd schedule(static, 1)",2.04855266,9138.348252534866
#pragma omp parallel for schedule(static) num_threads(72),2.04900033,5762.4772605896
"#pragma omp parallel for schedule(static, 2) num_threads(72)",2.06080833,5892.859890460968
#pragma omp parallel for simd schedule(static) num_threads(72),2.062134,6616.349075078964
"#pragma omp parallel for simd schedule(static, 1) num_threads(72)",2.063168,7502.64727139473
"#pragma omp parallel for simd schedule(static, 2) num_threads(72)",2.06402833,5840.348660230637
#pragma omp parallel for num_threads(72),2.068227,6200.349479675293
"#pragma omp parallel for schedule(static, 1) num_threads(72)",2.06973933,5464.348928451538
"#pragma omp parallel for schedule(dynamic, 1) num_threads(64)",2.06981633,6636.350270748138
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 8) num_threads(72)",2.07149133,6596.3486433029175
#pragma omp parallel for simd num_threads(72),2.07197066,6148.34855556488
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 2) num_threads(72)",2.07209466,6468.3492205142975
"#pragma omp parallel for schedule(static, 8)",2.07231533,8888.348861217499
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 4) num_threads(72)",2.07231966,8042.3490109443665
"#pragma omp parallel for schedule(static, 4)",2.072427,8956.689299821854
#pragma omp parallel for schedule(dynamic) num_threads(64),2.078168,6864.350299835205
#pragma omp parallel for simd schedule(dynamic) num_threads(128),2.07925133,6334.349626541138
"#pragma omp parallel for simd schedule(static, 8) num_threads(72)",2.08599033,5994.347806215286
#pragma omp parallel for collapse(2) schedule(dynamic) num_threads(72),2.08843266,5336.349143743515
"#pragma omp parallel for collapse(2) schedule(dynamic, 1) num_threads(72)",2.09187066,5146.348211050034
"#pragma omp parallel for simd schedule(dynamic, 2) num_threads(64)",2.09937833,7048.350375175476
#pragma omp parallel for collapse(2) schedule(dynamic),2.10728466,2988.3507313728333
#pragma omp parallel for simd schedule(dynamic) num_threads(64),2.11018266,4526.349577665329
"#pragma omp parallel for collapse(2) schedule(dynamic, 2) num_threads(72)",2.12341833,6030.602707386017
#pragma omp parallel for simd collapse(2) schedule(dynamic) num_threads(72),2.12793133,4752.349823474884
"#pragma omp parallel for schedule(dynamic, 4) num_threads(64)",2.13697733,7260.349739551544
"#pragma omp parallel for schedule(dynamic, 16) num_threads(72)",2.139727,7654.349018096924
"#pragma omp parallel for simd schedule(dynamic, 1) num_threads(128)",2.14815233,5252.349400043488
"#pragma omp parallel for simd schedule(static, 16) num_threads(72)",2.148343,5644.349167346954
