directive,objective,elapsed_sec
"#pragma omp parallel for collapse(2) schedule(dynamic, 16) num_threads(72)",0.18897466,1693.4746465682983
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 16) num_threads(72)",0.18924233,4338.9043345451355
"#pragma omp parallel for collapse(2) schedule(dynamic, 8) num_threads(72)",0.18983033,760.2859561443329
"#pragma omp parallel for collapse(2) schedule(dynamic, 16)",0.19022633,6845.371685266495
#pragma omp parallel for schedule(static) num_threads(72),0.190404,3125.287779569626
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 4) num_threads(72)",0.19059366,3998.9053387641907
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 8) num_threads(72)",0.19066133,3040.90390253067
#pragma omp parallel for schedule(dynamic) num_threads(72),0.190723,1637.331067085266
#pragma omp parallel for simd collapse(2) schedule(static) num_threads(72),0.19080766,3156.9041047096252
#pragma omp parallel for simd collapse(2) num_threads(72),0.19085066,3011.329277276993
"#pragma omp parallel for collapse(2) schedule(dynamic, 8)",0.190895,6788.989843130112
"#pragma omp parallel for schedule(dynamic, 4) num_threads(72)",0.190987,2356.904120206833
#pragma omp parallel for simd schedule(static) num_threads(72),0.191076,3674.9043760299683
"#pragma omp parallel for collapse(2) schedule(dynamic, 4)",0.19173366,6740.904527425766
"#pragma omp parallel for schedule(static, 2) num_threads(72)",0.191892,3323.0750710964203
#pragma omp parallel for collapse(2) schedule(static) num_threads(72),0.19193666,1733.3459684848785
"#pragma omp parallel for simd schedule(dynamic, 1) num_threads(72)",0.192008,2917.0313510894775
"#pragma omp parallel for simd schedule(static, 2) num_threads(72)",0.19202366,3220.904674053192
"#pragma omp parallel for schedule(static, 1) num_threads(72)",0.19206,2982.9040768146515
#pragma omp parallel for simd schedule(dynamic),0.19218666,6108.90501332283
"#pragma omp parallel for schedule(dynamic, 2) num_threads(72)",0.19241966,2956.903277158737
"#pragma omp parallel for collapse(2) schedule(dynamic, 2) num_threads(72)",0.192438,2316.9036688804626
#pragma omp parallel for collapse(2) num_threads(72),0.19257266,2838.9050056934357
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 2) num_threads(72)",0.19286066,2288.904937982559
#pragma omp parallel for num_threads(72),0.193376,2784.904114961624
"#pragma omp parallel for schedule(dynamic, 2)",0.19369266,6078.904743432999
"#pragma omp parallel for collapse(2) schedule(static, 16) num_threads(72)",0.19399333,2654.90448141098
"#pragma omp parallel for collapse(2) schedule(dynamic, 4) num_threads(72)",0.194282,2038.9042010307312
"#pragma omp parallel for schedule(dynamic, 4)",0.194371,6312.904474973679
"#pragma omp parallel for simd collapse(2) schedule(dynamic, 2)",0.19450366,6016.904158115387
#pragma omp parallel for simd schedule(dynamic) num_threads(72),0.19490333,1949.3120243549347
"#pragma omp parallel for collapse(2) schedule(static, 8) num_threads(72)",0.19502833,4122.90313744545
