directive,objective,elapsed_sec
#pragma omp simd,14.46971,266.8018503189087
 ,14.47253466,475.05506205558777
"#pragma omp target teams distribute parallel for simd     num_threads(72)     is_device_ptr(A, C)",0.83533466,688.7580714225769
"#pragma omp parallel for   collapse(2) schedule(dynamic, 8) num_threads(72)",0.45336866,742.7568604946136
"#pragma omp target teams distribute       is_device_ptr(A, C)",1.01189533,802.757513999939
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static)   dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, C)",0.18069,844.7575912475586
#pragma omp parallel for   collapse(2) schedule(dynamic)  ,0.84536133,918.758712053299
"#pragma omp target teams distribute parallel for   collapse(2) schedule(dynamic)       is_device_ptr(A, C)",0.25849133,972.7578060626984
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static)   dist_schedule(static, 4)   is_device_ptr(A, C)",0.40663333,1048.7593007087708
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static)   dist_schedule(static, 8)   is_device_ptr(A, C)",0.23343466,1123.5275378227234
"#pragma omp target teams distribute parallel for   collapse(2) schedule(dynamic)   dist_schedule(static, 2)   is_device_ptr(A, C)",0.97781066,1175.527945280075
"#pragma omp target teams distribute parallel for   collapse(2) schedule(dynamic, 16)   dist_schedule(static, 16)   is_device_ptr(A, C)",1.72425566,1241.5290060043335
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static)   dist_schedule(static, 2)   is_device_ptr(A, C)",0.452928,1357.8249592781067
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static)   dist_schedule(static, 2) thread_limit(256) is_device_ptr(A, C)",0.770995,1448.1902277469635
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static)   dist_schedule(static, 4)   is_device_ptr(A, C)",0.37995366,1520.1904709339142
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static)   dist_schedule(static, 16) thread_limit(256) is_device_ptr(A, C)",0.184084,1568.190069437027
"#pragma omp target teams distribute parallel for     schedule(static)   dist_schedule(static, 8)   is_device_ptr(A, C)",6.19821533,1680.1906616687775
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static)   dist_schedule(static, 4) thread_limit(64) is_device_ptr(A, C)",0.24108166,1730.5738770961761
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static)     thread_limit(128) is_device_ptr(A, C)",0.71848966,1804.188746213913
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static) num_threads(16) dist_schedule(static, 16) thread_limit(64) is_device_ptr(A, C)",0.19159566,1850.190479516983
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(176) dist_schedule(static, 16) thread_limit(64) is_device_ptr(A, C)",0.167484,1892.1909306049347
