directive,objective,elapsed_sec
#pragma omp simd,1.7976931348623157e+308,1232.4631407260895
 ,1.7976931348623157e+308,2462.460460662842
"#pragma omp target teams distribute parallel for simd     num_threads(72)     is_device_ptr(A, C)",4.29706766,2552.45831489563
"#pragma omp parallel for   collapse(2) schedule(dynamic, 8) num_threads(72)",7.147718,2674.5431292057037
"#pragma omp target teams distribute       is_device_ptr(A, C)",11.832657,2844.4580385684967
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static)   dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, C)",1.02479733,2900.4581751823425
#pragma omp parallel for   collapse(2) schedule(dynamic)  ,62.97056266,3594.458115339279
"#pragma omp target teams distribute   dist_schedule(static, 4) thread_limit(32) is_device_ptr(A, C)",8.004413,3722.461040496826
#pragma omp parallel for   collapse(2) schedule(static)  ,2.670344,3798.45804977417
"#pragma omp target teams distribute parallel for simd     num_threads(8)   thread_limit(128) is_device_ptr(A, C)",19.90924166,4046.4569568634033
"#pragma omp target teams distribute parallel for simd       dist_schedule(static, 8)   is_device_ptr(A, C)",3.996509,4136.8834846019745
"#pragma omp target teams distribute parallel for simd collapse(2)     dist_schedule(static, 4)   is_device_ptr(A, C)",3.095997,4214.459673404694
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic)   dist_schedule(static, 16)   is_device_ptr(A, C)",1.86209233,4280.458282470703
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static)   dist_schedule(static, 8)   is_device_ptr(A, C)",1.976403,4346.458493471146
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static)   dist_schedule(static, 4)   is_device_ptr(A, C)",3.85457266,4438.458896160126
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic)   dist_schedule(static, 8)   is_device_ptr(A, C)",2.408967,4514.457898616791
"#pragma omp target teams distribute parallel for simd   schedule(dynamic)   dist_schedule(static, 1)   is_device_ptr(A, C)",11.76352133,4680.458545923233
"#pragma omp parallel for simd collapse(2) schedule(static, 8)  ",3.79278266,4766.457221746445
"#pragma omp parallel for simd collapse(2) schedule(static, 16) num_threads(128)",4.53053866,4862.458690881729
