directive,objective,elapsed_sec
#pragma omp simd,41.507285,468.71607637405396
 ,39.846901,942.2900695800781
"#pragma omp target teams distribute parallel for simd     num_threads(72)     is_device_ptr(A, C)",0.89898,1004.2904846668243
"#pragma omp parallel for   collapse(2) schedule(dynamic, 8) num_threads(72)",0.516693,1070.2895600795746
"#pragma omp target teams distribute       is_device_ptr(A, C)",1.64353233,1136.7577970027924
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static)   dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, C)",0.186347,1190.2901875972748
#pragma omp parallel for   collapse(2) schedule(dynamic)  ,6.98376266,1310.2896296977997
"#pragma omp target teams distribute parallel for   collapse(2) schedule(dynamic)       is_device_ptr(A, C)",0.28564766,1372.2906773090363
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic)       is_device_ptr(A, C)",0.28912333,1424.5883705615997
"#pragma omp target teams distribute parallel for   collapse(2) schedule(dynamic) num_threads(8)     is_device_ptr(A, C)",1.391896,1492.2887573242188
"#pragma omp target teams distribute parallel for   collapse(2) schedule(dynamic, 8)       is_device_ptr(A, C)",1.560222,1562.2900826931
"#pragma omp target teams distribute parallel for   collapse(2) schedule(dynamic) num_threads(128)     is_device_ptr(A, C)",0.289042,1610.2912423610687
"#pragma omp target teams distribute parallel for   collapse(2) schedule(dynamic) num_threads(176)     is_device_ptr(A, C)",0.29164266,1676.2893362045288
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static) num_threads(176)     is_device_ptr(A, C)",0.256885,1734.2907133102417
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static) num_threads(8)     is_device_ptr(A, C)",2.21893133,1806.290827512741
"#pragma omp target teams distribute parallel for   collapse(2) schedule(dynamic, 2) num_threads(16)     is_device_ptr(A, C)",1.39177433,1876.291142463684
"#pragma omp target teams distribute parallel for   collapse(2) schedule(dynamic) num_threads(16)   thread_limit(32) is_device_ptr(A, C)",1.11905566,1948.2907922267914
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static) num_threads(72)     is_device_ptr(A, C)",0.234693,2000.291672706604
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static) num_threads(32)     is_device_ptr(A, C)",0.244012,2110.289869785309
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static)       is_device_ptr(A, C)",0.748171,2176.289696931839
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static)       is_device_ptr(A, C)",0.767664,2230.2896416187286
"#pragma omp target teams distribute parallel for     schedule(static) num_threads(16)     is_device_ptr(A, C)",1.88643233,2500.2894785404205
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(176)   thread_limit(64) is_device_ptr(A, C)",0.22204766,2560.589257478714
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static)     thread_limit(256) is_device_ptr(A, C)",0.752301,2626.758656978607
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(128)     is_device_ptr(A, C)",0.235724,2676.2909450531006
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(8)     is_device_ptr(A, C)",2.24322766,2750.5028722286224
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static) num_threads(176)   thread_limit(64) is_device_ptr(A, C)",0.21790833,2798.800048351288
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) num_threads(176)     is_device_ptr(A, C)",0.29169933,2854.290073156357
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static, 8) num_threads(176)   thread_limit(32) is_device_ptr(A, C)",0.41964466,2910.5033597946167
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static, 16) num_threads(176)     is_device_ptr(A, C)",1.56211633,2982.290038585663
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static) num_threads(32)   thread_limit(32) is_device_ptr(A, C)",0.227897,3038.289449930191
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static, 2) num_threads(64)   thread_limit(32) is_device_ptr(A, C)",0.26333766,3104.2901582717896
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static) num_threads(32)   thread_limit(128) is_device_ptr(A, C)",0.208731,3184.290316581726
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) num_threads(176)   thread_limit(128) is_device_ptr(A, C)",0.48352733,3262.2906889915466
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static, 16) num_threads(32)   thread_limit(64) is_device_ptr(A, C)",0.49602933,3394.2897040843964
"#pragma omp target teams distribute parallel for   collapse(2) schedule(static, 1) num_threads(32)   thread_limit(64) is_device_ptr(A, C)",0.194073,3450.290501832962
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static)     thread_limit(64) is_device_ptr(A, C)",0.87512733,3508.290442943573
"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic, 1) num_threads(32)   thread_limit(64) is_device_ptr(A, C)",0.241322,3566.545169353485
