p1,p3,p5,p9,p14,p4,p6,p7,p8,p10,p11,p12,objective,elapsed_sec
#pragma omp #P4,NA,NA,NA,NA,simd,NA,NA,NA,NA,NA,NA,115.50279533,1596.425389289856
 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.482101,3288.4215066432953
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7, , ,NA,simd, ,num_threads(#P12), ,NA,NA,72,3.94043866,3394.421852350235
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),dynamic,8,72,3.639278,3506.4214131832123
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)", , , ,NA,NA,NA,NA,NA,NA,NA,NA,7.91947166,3636.6770434379578
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),128, ,schedule(#P10), ,collapse(2),static,16,NA,1.66160133,3720.4196836948395
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, ,schedule(#P10), ,collapse(2),dynamic,NA,NA,8.45570666,3860.420132637024
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7, , ,NA, ,schedule(#P10), ,collapse(2),dynamic,NA,NA,3.31640866,3940.4218921661377
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA, ,schedule(#P10),num_threads(#P12),collapse(2),static,4,72,2.12884366,4004.4208431243896
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7, , ,NA, ,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,8,1.767009,4066.4217069149017
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA, ,schedule(#P10),num_threads(#P12),collapse(2),dynamic,1,32,5.222775,4170.420846223831
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA, ,schedule(#P10),num_threads(#P12),collapse(2),dynamic,8,176,3.166887,4246.719888925552
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7, , ,NA, ,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,176,2.796005,4320.420375823975
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA, ,schedule(#P10),num_threads(#P12),collapse(2),static,1,32,4.475493,4414.422131538391
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7, , ,NA, ,schedule(#P10),num_threads(#P12),collapse(2),static,NA,8,1.56908866,4480.421907186508
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7, , ,NA, ,schedule(#P10),num_threads(#P12),collapse(2),static,NA,72,2.88085733,4560.420956850052
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7, , ,NA,simd,schedule(#P10),num_threads(#P12),collapse(2),static,NA,32,11.61520566,4738.421063423157
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7, , ,NA, ,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),static,16,64,2.79767966,4874.422416448593
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),64, ,schedule(#P10),num_threads(#P12),collapse(2),static,2,72,3.025578,4960.422189235687
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7, , ,NA, ,schedule(#P10), ,collapse(2),static,NA,NA,10.13568566,5166.6373291015625
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA, ,schedule(#P10),num_threads(#P12), ,dynamic,8,16,4.17599833,5300.4227430820465
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),64, ,schedule(#P10),num_threads(#P12),collapse(2),static,1,16,4.63803433,5440.421778202057
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),64, ,schedule(#P10),num_threads(#P12),collapse(2),static,2,128,3.012198,5536.760022878647
